doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Log Management Policy,logging,Log Retention and Forensic Value,"Organizations must define log retention periods based on regulatory, operational, and forensic requirements. Retained logs provide historical evidence, support root-cause analysis, and are essential for legal and compliance investigations.","Kuruluşlar, yasal, operasyonel ve adli gereksinimlere göre log saklama sürelerini tanımlamalıdır. Saklanan loglar, geçmişe dönük kanıt sağlar, kök neden analizini destekler ve hukuki ile uyumluluk incelemeleri için kritik öneme sahiptir.","https://www.sans.org/information-security-policy/log-management-policy/"
doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Log Management Policy,logging,Log Review and Accountability,"Organizations must define processes for regular log review, including clear responsibilities and service level agreements. Security Operations Centers or designated teams are responsible for monitoring logs, detecting threats, and responding in a timely manner.","Kuruluşlar, düzenli log incelemesi için sorumlulukları ve hizmet seviyelerini tanımlayan süreçler oluşturmalıdır. Güvenlik Operasyon Merkezleri (SOC) veya yetkilendirilmiş ekipler, logları izlemek, tehditleri tespit etmek ve zamanında müdahale etmekle sorumludur.","https://www.sans.org/information-security-policy/log-management-policy/"
doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Log Management Policy,logging,Centralized Logging and Missing Logs,"Organizations must maintain systems that aggregate logs from all information systems. Missing or delayed logs may indicate system failures or security incidents. Alerts must be generated when expected logs are not received within defined timeframes.","Kuruluşlar, tüm bilgi sistemlerinden logları toplayan merkezi sistemler kullanmalıdır. Eksik veya geciken loglar, sistem arızalarına veya güvenlik olaylarına işaret edebilir. Belirlenen sürelerde log alınmadığında uyarı mekanizmaları devreye girmelidir.","https://www.sans.org/information-security-policy/log-management-policy/"
doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Log Management Policy,logging,Log Integrity and Protection,"Log management practices aim to maintain the integrity, confidentiality, and availability of log data. Protecting logs from unauthorized access or modification ensures that security events are accurately recorded and trusted during incident investigations and compliance audits.","Log yönetimi uygulamaları, kayıtların bütünlüğünü, gizliliğini ve erişilebilirliğini korumayı amaçlar. Logların yetkisiz erişim veya değiştirmeye karşı korunması, güvenlik olaylarının doğru şekilde kaydedilmesini ve olay incelemeleri ile denetimlerde güvenilir olmasını sağlar.","https://www.sans.org/information-security-policy/log-management-policy/"
doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Log Management Policy,logging,Purpose of Log Management,"Log management establishes a structured approach for collecting, monitoring, and analyzing log data generated by systems, applications, and network infrastructure. Effective log management enhances visibility into security events, enables detection of anomalous activities, supports incident response, and provides evidence for forensic investigations.","Log yönetimi; sistemler, uygulamalar ve ağ altyapısı tarafından üretilen kayıtların toplanması, izlenmesi ve analiz edilmesi için yapılandırılmış bir yaklaşım sunar. Etkili log yönetimi, güvenlik olaylarının görünürlüğünü artırır, anormal faaliyetlerin tespitini sağlar, olay müdahalesini destekler ve adli incelemeler için kanıt üretir.","https://www.sans.org/information-security-policy/log-management-policy/"
doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Database Credentials Standard,authentication,Credential Uniqueness and Access Control,"Each program implementing a single business function must use unique database credentials. Sharing database credentials between programs is not allowed, as reuse increases the risk of widespread compromise. Access to database credentials must be limited to a strict need-to-know basis.","Her bir işlevi yerine getiren program için benzersiz veritabanı kimlik bilgileri kullanılmalıdır. Programlar arasında kimlik bilgisi paylaşımı yasaktır; çünkü tekrar kullanım, geniş çaplı güvenlik ihlallerine yol açabilir. Veritabanı kimlik bilgilerine erişim, kesin bir bilmesi gereken prensibiyle sınırlandırılmalıdır.","https://www.sans.org/information-security-policy/database-credentials-standard/"
doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Database Credentials Standard,authentication,Cryptographic Requirements,"Encryption algorithms used to protect database credentials must comply with NIST FIPS 140-2 standards or successor documents. Strong asymmetric encryption methods such as RSA and Elliptic Curve Cryptography (ECC) are strongly recommended to prevent credential compromise.","Veritabanı kimlik bilgilerinin korunmasında kullanılan şifreleme algoritmaları, NIST FIPS 140-2 veya yerine geçen standartlara uygun olmalıdır. Kimlik bilgisi ihlallerini önlemek amacıyla RSA ve Eliptik Eğri Kriptografisi (ECC) gibi güçlü asimetrik şifreleme yöntemleri önerilmektedir.","https://www.sans.org/information-security-policy/database-credentials-standard/"
doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Database Credentials Standard,authentication,Secure Storage of Credentials,"Database credentials must not be embedded in source code in clear text or reversible encryption. Credentials may be stored in separate protected files, authentication servers such as LDAP, or securely on the database server itself. Storing credentials in web-accessible directories is strictly prohibited.","Veritabanı kimlik bilgileri açık metin veya kolayca geri çözülebilen şifreleme ile kaynak kod içerisine gömülmemelidir. Kimlik bilgileri, korumalı ayrı dosyalarda, LDAP gibi kimlik doğrulama sunucularında veya güvenli şekilde veritabanı sunucusu üzerinde saklanabilir. Web sunucuları tarafından erişilebilir dizinlerde saklanmaları kesinlikle yasaktır.","https://www.sans.org/information-security-policy/database-credentials-standard/"
doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Database Credentials Standard,authentication,Scope and Developer Responsibility,"This policy applies to all system implementers and software engineers developing applications that access production database servers. Developers are responsible for ensuring that database credentials are protected throughout the application lifecycle, including non-production environments where data may still pose security risks.","Bu politika, üretim veritabanlarına erişen uygulamaları geliştiren tüm yazılım geliştiriciler ve sistem uygulayıcılarını kapsar. Geliştiriciler, üretim dışı ortamlar dahil olmak üzere uygulama yaşam döngüsü boyunca veritabanı kimlik bilgilerinin korunmasından sorumludur.","https://www.sans.org/information-security-policy/database-credentials-standard/"
doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Database Credentials Standard,authentication,Purpose and Risk,"This policy defines requirements for securely storing and retrieving database usernames and passwords used by software applications. If database credentials are improperly stored, they may be compromised, leading directly to unauthorized access and compromise of the database itself.","Bu politika, yazılım uygulamaları tarafından kullanılan veritabanı kullanıcı adları ve parolalarının güvenli şekilde saklanması ve alınması için gereklilikleri tanımlar. Kimlik bilgileri uygun şekilde korunmazsa ele geçirilebilir ve bu durum doğrudan yetkisiz erişim ve veritabanı ihlali ile sonuçlanabilir.","https://www.sans.org/information-security-policy/database-credentials-standard/"
doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Password Construction Standard,authentication,Password Cracking and Reuse Risk,"Password cracking or guessing may be performed on a periodic or random basis by the information security team. If a password is guessed or cracked during these activities, the user is required to change the password. This highlights the risk of weak or reused passwords and the importance of enforcing strong password construction rules.","Bilgi güvenliği ekipleri tarafından parolalar periyodik veya rastgele olarak tahmin veya kırma testlerine tabi tutulabilir. Bir parola bu testler sırasında ele geçirilirse, kullanıcı parolayı değiştirmekle yükümlüdür. Bu durum, zayıf veya tekrar kullanılan parolaların oluşturduğu riski ve güçlü parola kurallarının önemini ortaya koymaktadır.","https://www.sans.org/information-security-policy/password-protection-policy/"
doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Password Construction Standard,authentication,Password Length and Passphrases,"Strong passwords are long, as the number of characters directly increases password strength. A minimum of 16 characters is recommended for all work-related passwords. The use of passphrases composed of multiple words is encouraged, as they are easier to remember while providing increased resistance against password guessing and cracking attacks.","Güçlü parolalar uzun olmalıdır; karakter sayısı arttıkça parola gücü artar. Çalışma ortamlarında en az 16 karakter uzunluğunda parolalar önerilmektedir. Birden fazla kelimeden oluşan parola ifadeleri (passphrase), hem hatırlanabilirliği artırır hem de parola tahmin ve kırma saldırılarına karşı daha yüksek direnç sağlar.","https://www.sans.org/information-security-policy/password-protection-policy/"
doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Password Construction Standard,authentication,Purpose and Scope,"The purpose of this guideline is to provide best practices for the creation of strong passwords. This guideline applies to employees, contractors, consultants, temporary and other workers, including personnel affiliated with third parties. It applies to all passwords, including user-level accounts, system-level accounts, web accounts, email accounts, screen saver protection, voicemail, and local router logins.","Bu standardın amacı, güçlü parolaların oluşturulması için en iyi uygulamaları tanımlamaktır. Doküman; çalışanlar, yükleniciler ve üçüncü taraf personel dahil olmak üzere tüm kullanıcıları kapsar ve kullanıcı, sistem, web, e-posta, ekran koruyucu, sesli posta ve yerel ağ cihazı parolalarına uygulanır.","https://www.sans.org/information-security-policy/password-protection-policy/"